מזהה,סוג,"מק""ט",Name,שיוך 1 ערכים,שיוך 2 ערכים,מחיר רגיל,Categories,מיקום,כלים: _wpml_word_count,כלים: _wpml_media_featured,כלים: _wpml_media_duplicate,שיוך 1 שמות,שיוך 1 פריטים מוצגים,שיוך 1 פריטים גלובליים,שיוך 2 שמות,שיוך 2 פריטים מוצגים,שיוך 2 פריטים גלובליים,פורסם,האם מומלץ?,נראות בקטלוג,תיאור קצר,תיאור,תאריך התחלה של מחיר המבצע,תאריך סיום של מחיר המבצע,Tax status,סוג מס,במלאי?,מלאי,כמות של מלאי מועט,לאפשר הזמנות מראש?,נמכר בנפרד?,משקל (kg),אורך (cm),רוחב (cm),גובה (cm),לאפשר חוות דעת של לקוחות?,הערת רכישה,מחיר מבצע,תגיות,Shipping class,תמונות,הגבלת הורדות,ימים שנותרו לתוקף ההורדה,אב,מוצרים מקובצים,מוצרים משודרגים,מוצרים משלימים,URL חיצוני,טקסט כפתור
5008,simple,412522,צלחת מרובעת נסיכות,8 יח',"23 ס""מ",17.9,בנות > נסיכות,0,"{""total"":0,""to_translate"":{""en"":22,""he"":22}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
5009,simple,412523,צלחת עגולה נסיכות,8 יח',"23 ס""מ",13.9,בנות > נסיכות,0,"{""total"":0,""to_translate"":{""en"":23,""he"":23}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
5010,simple,412524,מפיות נסיכות,20 יח,33*33,13.9,בנות > נסיכות,0,"{""total"":0,""to_translate"":{""en"":26,""he"":26}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
5011,simple,412525,מפיות טירת נסיכות ,20 יח,,14.9,בנות > נסיכות,0,"{""total"":0,""to_translate"":{""en"":26,""he"":26}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
5012,simple,412526,כוסות טירת נסיכות ,8 יח ,"200מ""ל",9.9,בנות > נסיכות,0,"{""total"":0,""to_translate"":{""en"":24,""he"":24}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
5013,simple,412527,קופסאות פוקפורן נסיכות,6 יח,,9.9,בנות > נסיכות,0,"{""total"":0,""to_translate"":{""en"":26,""he"":26}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
5014,simple,412528,כרזות קישוט נסיכות,מחולק ל 5 יחידות,,18.9,בנות > נסיכות,0,"{""total"":0,""to_translate"":{""en"":26,""he"":26}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
5015,simple,412529,מנשפים נסיכות,8 יח,,10.9,בנות > נסיכות,0,"{""total"":0,""to_translate"":{""en"":26,""he"":26}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
,,412530,lol,,,,,0,"{""total"":0,""to_translate"":{""en"":26,""he"":26}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
,,412531,פריט,כמות,גודל,מחיר,,0,"{""total"":0,""to_translate"":{""en"":24,""he"":24}}",1,1,כמות,1,1,Size,1,1,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,"https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-958_orig_אקולוגי_003-1.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-326_orig_אקולוגי_007.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-442_orig_אקולוגי_004.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-58-722_orig_אקולוגי_008.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-960_orig_אקולוגי_002.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-53-174_orig_אקולוגי_001.jpg, https://celebrationbyorel.com/wp-content/uploads/2019/08/2019-08-04_09-26-55-949_orig_אקולוגי_005.jpg",,,,,,,,
