מזהה,סוג,"מק""ט",Name,פורסם,האם מומלץ?,נראות בקטלוג,תיאור קצר,תיאור,תאריך התחלה של מחיר המבצע,תאריך סיום של מחיר המבצע,Tax status,סוג מס,במלאי?,מלאי,כמות של מלאי מועט,לאפשר הזמנות מראש?,נמכר בנפרד?,משקל (kg),אורך (cm),רוחב (cm),גובה (cm),לאפשר חוות דעת של לקוחות?,הערת רכישה,מחיר מבצע,מחיר רגיל,Categories,תגיות,Shipping class,תמונות,הגבלת הורדות,ימים שנותרו לתוקף ההורדה,אב,מוצרים מקובצים,מוצרים משודרגים,מוצרים משלימים,URL חיצוני,טקסט כפתור,מיקום,כלים: _wpml_word_count,כלים: _wpml_media_featured,כלים: _wpml_media_duplicate
4981,simple,,מרקיות וינטאג שחור,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,14.9,אירוח > שחור,,,https://celebrationbyorel.com/wp-content/uploads/2019/08/מפיות_003.jpg,,,,,,,,,1,"{""total"":0,""to_translate"":{""en"":27,""he"":27}}",1,1
4982,simple,,צלחות וינטאג שחור 18 סמ,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,14.9,אירוח > שחור,,,https://celebrationbyorel.com/wp-content/uploads/2019/08/מפיות_003.jpg,,,,,,,,,2,"{""total"":0,""to_translate"":{""en"":27,""he"":27}}",1,1
4983,simple,,קערות הגשה וינטאג שחור,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,11.9,אירוח > שחור,,,https://celebrationbyorel.com/wp-content/uploads/2019/08/מפיות_003.jpg,,,,,,,,,3,"{""total"":0,""to_translate"":{""en"":27,""he"":27}}",1,1
4984,simple,,צלחות וינטאג שחור 22 סמ,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,19.9,אירוח > שחור,,,https://celebrationbyorel.com/wp-content/uploads/2019/08/מפיות_003.jpg,,,,,,,,,4,"{""total"":0,""to_translate"":{""en"":27,""he"":27}}",1,1
4985,simple,,מגשי וינטאג שחור,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,11.9,אירוח > שחור,,,https://celebrationbyorel.com/wp-content/uploads/2019/08/מפיות_003.jpg,,,,,,,,,5,"{""total"":0,""to_translate"":{""en"":27,""he"":27}}",1,1
4986,simple,,מזלגות וינטג שחור,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,6.9,אירוח > שחור,,,https://celebrationbyorel.com/wp-content/uploads/2019/08/מפיות_003.jpg,,,,,,,,,6,"{""total"":0,""to_translate"":{""en"":27,""he"":27}}",1,1
4987,simple,,סכינים וינטאג שחור,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,6.9,אירוח > שחור,,,https://celebrationbyorel.com/wp-content/uploads/2019/08/מפיות_003.jpg,,,,,,,,,7,"{""total"":0,""to_translate"":{""en"":27,""he"":27}}",1,1
4988,simple,,כפות וינטאג שחור,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,6.9,אירוח > שחור,,,https://celebrationbyorel.com/wp-content/uploads/2019/08/מפיות_003.jpg,,,,,,,,,8,"{""total"":0,""to_translate"":{""en"":27,""he"":27}}",1,1
