מזהה,סוג,"מק""ט",Name,Categories,פורסם,האם מומלץ?,נראות בקטלוג,תיאור קצר,תיאור,תאריך התחלה של  המבצע,תאריך סיום של  המבצע,Tax status,סוג מס,במלאי?,מלאי,כמות של מלאי מועט,לאפשר הזמנות מראש?,נמכר בנפרד?,משקל (kg),אורך (cm),רוחב (cm),גובה (cm),לאפשר חוות דעת של לקוחות?,הערת רכישה, מבצע, רגיל,תגיות,Shipping class,תמונות,הגבלת הורדות,ימים שנותרו לתוקף ההורדה,אב,מוצרים מקובצים,מוצרים משודרגים,מוצרים משלימים,URL חיצוני,טקסט כפתור,מיקום,כלים: _wpml_word_count,כלים: _wpml_media_featured,כלים: _wpml_media_duplicate,שיוך 1 שמות,שיוך 1 ערכים,שיוך 1 פריטים מוצגים,שיוך 1 פריטים גלובליים,שיוך 2 שמות,שיוך 2 ערכים,שיוך 2 פריטים מוצגים,שיוך 2 פריטים גלובליים
1439,simple,,קערות קוקוס ,אקולוגי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,45,,,,,,,,,,,,342,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1440,simple,,מגשי עץ מתכלים,אקולוגי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,13.9,,,,,,,,,,,,343,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1441,simple,,כפיות עץ מתכלות ,אקולוגי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,13.9,,,,,,,,,,,,344,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1442,simple,,סכיני עץ מתכלים,אקולוגי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,13.9,,,,,,,,,,,,345,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1443,simple,,מזלגות עץ מתכלות,אקולוגי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,13.9,,,,,,,,,,,,346,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1444,simple,,קשים מתכלים,אקולוגי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,11.9,,,,,,,,,,,,347,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1445,simple,,קונוסים מתכלים,אקולוגי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,11.9,,,,,,,,,,,,348,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1446,simple,,פלמנגו,,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,349,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1447,simple,,פלמנגו צלחת נייר זהב קטנה,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,12.9,,,,,,,,,,,,350,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1448,simple,,פלמנגו צלחת נייר זהב גדולה,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,14.9,,,,,,,,,,,,351,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1449,simple,,פלמנגו כוסות נייר זהב ,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,12.9,,,,,,,,,,,,352,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1450,simple,,פלמנגו צלחת נייר כסף קטנה,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,12.9,,,,,,,,,,,,353,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1451,simple,,פלמנגו צלחת נייר כסף גדולה,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,14.9,,,,,,,,,,,,354,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1452,simple,,פלמנגו כוסות נייר כסף,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,12.9,,,,,,,,,,,,355,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1453,simple,,קופסאות פופקורן פלמנגו כסף ,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,11.9,,,,,,,,,,,,356,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1454,simple,,מפיות פלמנגו זהב,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,14.9,,,,,,,,,,,,357,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1455,simple,,מפיות פלמנגו כסף,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,14.9,,,,,,,,,,,,358,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1456,simple,,פלמנגו אננס קישוט תלייה ,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,13.9,,,,,,,,,,,,359,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1457,simple,,צלחת קרטון אננס פלמנקו זהב ,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,18.9,,,,,,,,,,,,360,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1458,simple,,צלחת פלמנגו צורת לב מקרטון גדול,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,9.9,,,,,,,,,,,,361,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1459,simple,,צלחת פלמנגו צורת לב מקרטון קטן,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,6.9,,,,,,,,,,,,362,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1460,simple,,פלמנגו אננס דלי פופקורן קרטון,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,5.9,,,,,,,,,,,,363,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1461,simple,,נרות פלמנגו לעוגה ורוד ,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,10.9,,,,,,,,,,,,364,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1462,simple,,פלמגו קישוט תלייה ,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,11.9,,,,,,,,,,,,365,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1463,simple,,פלמנגו אבטיח אננס דיגלונים לתלייה,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,18.9,,,,,,,,,,,,366,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1464,simple,,בלון הליום פלמנגו גדול,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,60,,,,,,,,,,,,367,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1465,simple,,צלחות נייר פלמגו ורוד תכלת,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,14.9,,,,,,,,,,,,368,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1466,simple,,מפיות פלמנגו ורוד תכלת,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,13.9,,,,,,,,,,,,369,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1467,simple,,כוסות פלסטיק פלמנגו ורוד תכלת,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,9.9,,,,,,,,,,,,370,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1468,simple,,באנר דגלים משולשים פלמינגו זהב ,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,13.9,,,,,,,,,,,,371,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1469,simple,,טופרים לעוגה תכלת פלמנגו ורוד ,פלמנגו,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,13.9,,,,,,,,,,,,372,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1470,simple,,חד פעמי צבעים מטאלים,,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,373,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1471,simple,,ורוד מטאלי,,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,374,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1472,simple,,צלחות ורוד מטאלי קטנות עגולות וואו,ורוד מטאלי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,6.9,,,,,,,,,,,,375,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1473,simple,,צלחות ורוד מטאלי גדולות עגולות וואו,ורוד מטאלי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,9.9,,,,,,,,,,,,376,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1474,simple,,צלחות מתומן קטנות ורוד מטאלי בהיר מסיבתה,ורוד מטאלי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,11.9,,,,,,,,,,,,377,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1475,simple,,צלחות מתומן גדולות ורוד מטאלי בהיר מסיבתה,ורוד מטאלי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,17.9,,,,,,,,,,,,378,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1476,simple,,צלחות מתומן קטנות ורוד מטאלי כהה מסיבתה,ורוד מטאלי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,11.9,,,,,,,,,,,,379,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1477,simple,,צלחות מתומן גדולות ורוד מטאלי כהה מסיבתה,ורוד מטאלי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,17.9,,,,,,,,,,,,380,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1478,simple,,כוסות קרטון ורוד מטאלי בהיר מסיבתה ,ורוד מטאלי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,11.9,,,,,,,,,,,,381,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1479,simple,,כוסות קרטון ורוד מטאלי כהה מסיבתה ,ורוד מטאלי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,11.9,,,,,,,,,,,,382,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1480,simple,,כוסות קרטון ורוד מטאלי בהיר וואו,ורוד מטאלי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,8.9,,,,,,,,,,,,383,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
