מזהה,סוג,"מק""ט",Name,פורסם,האם מומלץ?,נראות בקטלוג,תיאור קצר,תיאור,תאריך התחלה של מחיר המבצע,תאריך סיום של מחיר המבצע,Tax status,סוג מס,במלאי?,מלאי,כמות של מלאי מועט,לאפשר הזמנות מראש?,נמכר בנפרד?,משקל (kg),אורך (cm),רוחב (cm),גובה (cm),לאפשר חוות דעת של לקוחות?,הערת רכישה,מחיר מבצע,מחיר רגיל,Categories,תגיות,Shipping class,תמונות,הגבלת הורדות,ימים שנותרו לתוקף ההורדה,אב,מוצרים מקובצים,מוצרים משודרגים,מוצרים משלימים,URL חיצוני,טקסט כפתור,מיקום,שיוך 1 שמות,שיוך 1 ערכים,שיוך 1 פריטים מוצגים,שיוך 1 פריטים גלובליים,שיוך 2 שמות,שיוך 2 ערכים,שיוך 2 פריטים מוצגים,שיוך 2 פריטים גלובליים,כלים: _wp_page_template,כלים: _wpml_word_count,כלים: _wpml_media_featured,כלים: _wpml_media_duplicate
9307,simple,413858,ספרה 13 זהב נצנצים על מקלות,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,12,אירוח לכל גיל > בר מצווה,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,5יח,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9308,simple,413859,ספרה 13 קלקר כסף נצנצים,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,5,אירוח לכל גיל > בר מצווה,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,1,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9309,simple,413860,ספרה 13 קלקר זהב נצנצים,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,5,אירוח לכל גיל > בר מצווה,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,1,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9310,simple,413861,טופרים ספר תורה עם ספרה 13 ,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,8.9,אירוח לכל גיל > בר מצווה,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,24יח,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9311,simple,413862,בת מצווה,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,,,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,כמות,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9312,simple,413863,צלחות ורודות עם ספרה 12 בצורת ברבור,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,17.9,אירוח לכל גיל > בת מצווה,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,8יח,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9313,simple,413864,כוסות ורודות עם כתרים זהב,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,12.9,אירוח לכל גיל > בת מצווה,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,8יח,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9314,simple,413865,קופסאות פופקורן ורודות עם ספרה 12 ,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,15.5,אירוח לכל גיל > בת מצווה,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,8יח,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9315,simple,413866,שקיות קרטון ורודות ספרה 12 וכתרים זהב,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,11.9,אירוח לכל גיל > בת מצווה,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,6יח,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9316,simple,413867,ספרה 12 ורוד נצנצים על מקלות ,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,12,אירוח לכל גיל > בת מצווה,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,5יח,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9317,simple,413868,ספרה 12 כסף נצנצים על מקלות ,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,12,אירוח לכל גיל > בת מצווה,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,5יח,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9318,simple,413869,ספרה 12 ורוד נצנצים מקלקר ,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,5,אירוח לכל גיל > בת מצווה,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,1,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9319,simple,413870,טופרים ספרה 12 ורוד,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,8.9,אירוח לכל גיל > בת מצווה,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,24יח,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9320,simple,413871,טופרים ספרה 12 בצורת ברבור לבן זהב ,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,11.9,אירוח לכל גיל > בת מצווה,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,12יח,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9321,simple,413872,גיוס קל ונעים,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,מחיר,,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,כמות,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
